LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
A,A.J. Candelario,668826,R,SI,2022,62,-1.35,94.9,-1.7,6.5,5.4,-12.0,30.2,-13.4,-11.4,17.6,21.3,-12.6,2377,1.2,0.8,52.5,70.8
A,A.J. Labas,669332,R,SI,2021,32,1.41,88.6,-1.5,5.6,5.7,-14.3,25.1,-28.4,-15.6,4.2,16.2,-31.2,1933,-1.0,-2.8,37.1,32.1
A,A.J. Labas,669332,R,SI,2022,93,-0.86,89.7,-1.5,5.8,5.8,-14.1,25.6,-27.2,-15.1,5.4,16.1,-29.4,2209,-1.8,-3.7,37.4,34.1
A,A.J. Labas,669332,R,SI,2023,169,-1.18,91.1,-1.5,5.7,5.8,-14.7,27.4,-29.2,-15.4,3.2,15.8,-30.5,2187,-0.9,-3.2,40.8,39.8
A,A.J. Wilson,687954,L,FF,2024,46,1.48,89.2,-3.4,6.0,5.3,-1.9,26.2,-24.8,-2.0,7.8,8.4,-26.8,2213,4.2,2.1,49.6,29.3
A,Aaron Haase,700412,R,FF,2021,40,-3.62,92.4,-1.2,5.7,5.8,-6.9,31.2,-14.2,-7.2,18.6,20.2,-14.5,2536,2.4,1.0,56.6,62.7
A,Aaron Haase,700412,R,FF,2022,158,-0.39,92.2,-1.5,5.9,5.6,-9.5,28.4,-14.8,-9.7,17.6,20.5,-14.9,2502,1.2,0.8,49.8,51.7
A,Aaron Haase,700412,R,FF,2023,33,8.0,91.6,-1.4,6.0,5.6,-9.5,28.5,-14.8,-9.7,18.0,20.7,-15.1,2548,1.2,0.8,47.5,49.2
A,Aaron Haase,700412,R,SI,2022,48,-12.75,91.8,-1.5,5.9,5.6,-13.9,27.6,-16.4,-14.2,16.0,21.3,-16.8,2403,-1.8,-1.4,40.4,46.9
A,Aaron Holiday,701569,R,FF,2024,249,-2.65,94.2,-1.0,6.6,6.1,-5.7,31.7,-11.1,-5.5,20.2,21.0,-10.6,2425,0.4,0.1,52.8,62.8
A,Aaron Munson,815317,R,FF,2024,197,-0.16,92.2,-1.5,6.7,5.9,-1.9,29.4,-16.7,-1.9,15.4,15.7,-16.6,2344,2.1,0.2,49.0,41.9
A,Aaron Nixon,691004,R,FF,2024,578,-1.39,92.7,-0.4,6.2,5.7,-2.3,28.5,-23.0,-2.3,9.1,10.2,-22.6,2292,1.0,0.1,44.0,37.6
A,Aaron Rozek,702065,L,FF,2021,89,1.72,88.5,-0.9,6.1,6.2,-9.0,26.4,-16.3,-9.8,17.8,20.1,-18.1,2255,0.6,0.4,39.4,44.2
A,Aaron Shortridge,663336,R,FF,2022,71,4.38,89.4,-2.1,6.7,5.8,-6.4,26.9,-14.1,-7.0,18.7,20.1,-14.8,2278,1.6,0.6,45.1,46.6
A,Aaron Shortridge,663336,R,FF,2024,45,3.02,91.2,-1.9,6.7,6.1,-2.3,28.7,-16.1,-2.3,16.2,16.9,-16.2,2100,2.0,0.4,45.5,48.2
A,Adam Macko,671936,L,SI,2024,26,3.88,92.0,-1.3,5.7,5.7,-11.6,29.8,-16.8,-11.8,15.6,19.8,-17.3,2259,-0.2,-0.2,44.7,48.1
A,Adam Serwinowski,703445,L,FF,2024,431,1.98,93.9,-2.2,6.7,6.0,-4.9,29.5,-14.1,-4.7,17.2,18.0,-13.4,2582,4.2,1.5,68.8,56.8
A,Adam Serwinowski,703445,L,SI,2024,42,-4.67,94.2,-2.2,6.8,6.0,-10.9,30.3,-13.6,-10.1,17.8,20.5,-12.7,2530,1.0,0.6,50.0,68.9
A,Adam Stone,688636,R,FF,2023,148,0.17,93.9,-1.2,6.3,6.0,-3.9,27.5,-18.6,-3.7,13.2,13.9,-18.0,2576,3.4,1.5,55.6,46.8
A,Adam Wolf,663684,L,SI,2021,195,-0.57,90.0,-2.3,6.2,6.6,-11.1,27.0,-20.2,-11.6,12.6,17.5,-21.7,2056,-1.9,-1.5,39.3,34.5
A,Adrian Bohorquez,807974,R,FF,2024,102,2.27,94.5,-1.3,6.3,6.2,-9.9,32.0,-13.7,-9.4,17.6,19.9,-13.2,2488,1.9,1.1,51.3,65.4
A,Adrian Florencio,684876,R,FF,2021,516,0.81,92.4,-1.3,6.5,6.3,-6.8,27.9,-16.2,-6.7,15.9,17.4,-16.0,2107,3.0,1.6,44.6,47.6
A,Adrian Florencio,684876,R,SI,2021,395,1.28,92.8,-1.5,6.6,6.3,-11.0,28.4,-16.5,-10.7,15.4,18.8,-16.2,2122,-0.6,-0.4,38.8,50.6
A,Adrian Hernandez,681753,R,FF,2021,117,-4.97,91.4,-1.6,6.4,5.8,-10.8,27.9,-14.9,-10.9,17.8,21.1,-14.9,2140,0.6,0.4,42.9,55.1
A,Adrian Herrera,805155,R,FF,2024,65,1.58,90.0,-1.8,6.4,5.2,-10.5,30.0,-15.0,-10.9,18.2,21.0,-15.8,2261,1.7,1.2,51.9,58.2
A,Adrian Herrera,805155,R,SI,2024,49,-0.69,90.5,-1.8,6.4,5.1,-13.1,30.7,-15.9,-13.9,16.9,22.2,-16.5,2276,0.2,0.2,44.2,55.6
A,Aidan Anderson,689379,R,FF,2021,55,4.07,91.7,-1.9,6.1,6.0,-5.2,30.2,-14.4,-5.4,18.1,19.0,-14.9,2384,2.2,0.7,56.0,52.9
A,Al Pesto,663875,R,SI,2023,69,-3.0,92.1,-1.1,6.1,5.8,-13.6,29.5,-20.3,-13.8,12.2,18.1,-20.5,2233,0.4,0.5,43.5,42.6
A,Alan Perdomo,679595,R,SI,2024,467,0.96,94.2,-1.9,6.4,5.8,-15.6,30.9,-21.2,-15.0,10.6,18.7,-20.3,2069,-0.9,-1.1,42.5,46.9
