LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
A,A.J. Candelario,668826,R,SL,2022,29,0.86,82.6,-1.8,6.6,5.2,0.6,24.7,-29.5,0.7,3.4,3.7,-36.9,1892,-1.6,0.8,42.9,30.7
A,A.J. Labas,669332,R,CH,2021,47,-8.32,84.1,-1.5,5.7,5.6,-12.4,24.0,-28.4,-15.7,4.7,16.7,-33.6,1968,-0.6,-2.1,43.6,48.8
A,A.J. Labas,669332,R,CH,2022,26,1.38,84.6,-1.6,6.0,5.7,-12.1,22.8,-26.4,-14.1,6.9,16.1,-31.0,2003,-0.6,-0.9,38.3,40.9
A,A.J. Labas,669332,R,CH,2023,134,0.61,85.8,-1.5,5.8,5.5,-13.6,25.4,-31.0,-16.0,1.4,16.2,-36.5,2089,-0.3,-2.8,46.2,40.7
A,A.J. Labas,669332,R,FC,2021,47,-1.91,81.4,-1.6,5.7,5.6,2.2,21.4,-30.7,2.9,1.9,4.0,-40.0,2525,0.0,0.2,47.7,51.6
A,A.J. Labas,669332,R,FC,2022,97,0.39,82.0,-1.6,5.8,5.7,5.1,22.5,-29.2,6.6,3.8,7.9,-37.8,2724,-0.8,3.1,49.8,58.8
A,A.J. Labas,669332,R,FC,2023,32,-7.22,82.1,-1.5,5.6,5.7,7.2,22.6,-30.8,9.3,1.8,9.6,-39.3,2794,0.0,3.3,49.4,59.2
A,A.J. Labas,669332,R,ST,2023,105,-0.23,81.0,-1.5,5.6,5.6,12.3,23.1,-32.0,16.4,0.2,16.9,-42.8,2874,1.4,6.8,48.9,69.8
A,A.J. Wilson,687954,L,SL,2024,91,2.42,80.6,-3.4,5.9,5.2,12.0,23.9,-28.4,16.1,5.0,16.8,-38.4,2826,-0.5,7.0,51.6,67.4
A,Aaron Haase,700412,R,CH,2022,35,3.89,85.2,-2.0,5.9,5.4,-12.4,23.2,-26.8,-14.8,6.4,16.3,-31.4,1896,-1.4,-2.5,42.0,35.2
A,Aaron Haase,700412,R,CU,2022,101,1.03,84.2,-1.6,5.9,5.6,9.7,25.3,-40.0,12.0,-9.5,15.9,-49.0,2753,3.6,3.2,48.0,58.4
A,Aaron Haase,700412,R,FC,2022,90,0.51,87.9,-1.6,5.9,5.7,1.5,23.6,-27.7,1.7,4.9,6.0,-31.2,2692,0.8,0.1,49.9,55.6
A,Aaron Haase,700412,R,SL,2022,91,5.41,85.3,-1.5,5.9,5.6,8.6,25.4,-38.4,10.3,-7.3,12.9,-45.5,2769,3.3,3.3,48.1,58.4
A,Aaron Haase,700412,R,SL,2023,26,1.69,85.0,-1.4,6.0,5.6,3.6,22.7,-33.0,4.2,-1.0,4.4,-38.6,2814,0.6,1.4,52.6,59.0
A,Aaron Holiday,701569,R,FC,2024,86,1.35,87.4,-1.0,6.6,6.2,1.0,25.0,-19.2,1.1,13.9,14.2,-20.6,2286,2.2,-0.1,48.5,36.7
A,Aaron Munson,815317,R,CH,2024,32,-2.12,84.8,-0.9,6.7,5.8,-4.3,28.0,-27.4,-5.1,5.8,9.0,-32.6,924,-2.8,-1.4,45.9,41.4
A,Aaron Munson,815317,R,CU,2024,37,-5.08,80.3,-1.2,6.6,5.8,4.0,23.2,-38.5,5.0,-8.3,10.1,-50.6,2562,-1.1,-0.9,55.8,61.7
A,Aaron Munson,815317,R,FC,2024,139,1.93,87.1,-1.8,6.6,5.9,4.8,26.1,-28.8,5.4,3.8,8.9,-31.5,2499,0.1,0.4,50.2,63.5
A,Aaron Munson,815317,R,SL,2024,109,3.61,83.6,-2.0,6.5,5.8,5.7,25.3,-30.5,6.8,2.0,9.1,-36.2,2484,-0.2,3.0,48.5,61.2
A,Aaron Nixon,691004,R,SL,2024,510,1.3,84.5,-0.5,6.2,5.6,3.0,25.0,-34.3,3.7,-2.6,5.3,-41.1,2381,-0.1,0.1,55.2,36.7
A,Aaron Rozek,702065,L,CH,2021,77,0.51,79.8,-1.2,5.8,6.0,-12.6,22.2,-24.6,-17.3,10.2,20.3,-33.7,2119,0.8,1.5,38.0,49.6
A,Aaron Rozek,702065,L,CU,2021,65,0.68,76.6,-1.1,5.8,6.1,4.8,20.0,-39.5,7.2,-10.8,13.2,-58.2,2627,-0.4,-0.3,48.7,58.2
A,Aaron Rozek,702065,L,SL,2021,95,5.82,84.8,-1.0,6.0,6.2,1.6,22.6,-26.1,1.9,7.1,7.4,-31.0,2419,3.8,0.0,49.6,35.2
A,Aaron Shortridge,663336,R,CU,2022,20,5.05,76.4,-2.1,6.6,5.7,3.9,20.0,-35.2,5.4,-4.6,8.4,-51.6,2339,0.1,0.0,42.3,56.9
A,Aaron Shortridge,663336,R,FC,2024,30,1.37,89.9,-2.0,6.7,6.1,1.0,26.8,-17.8,1.0,14.8,15.0,-18.4,2031,3.6,0.5,47.1,43.7
A,Aaron Shortridge,663336,R,SL,2022,31,-0.1,82.0,-2.3,6.6,5.6,3.1,21.3,-31.7,3.6,0.6,4.2,-40.1,2353,-0.1,0.9,44.9,53.6
A,Aaron Shortridge,663336,R,SL,2024,49,2.86,84.2,-2.2,6.6,6.0,2.7,24.1,-32.0,3.1,0.2,4.1,-37.8,2168,0.3,-0.3,47.3,48.4
A,Adam Serwinowski,703445,L,SL,2024,218,-0.42,82.1,-2.2,6.6,5.9,7.8,23.0,-34.0,10.0,-2.4,10.7,-42.5,2645,1.3,3.4,48.5,66.4
A,Adam Stone,688636,R,FC,2023,175,-3.13,90.1,-1.6,6.2,5.8,1.2,25.5,-25.7,1.2,7.0,7.6,-26.6,2627,3.3,0.6,50.6,57.5
A,Adam Stone,688636,R,SL,2023,54,-3.5,83.6,-1.6,6.2,5.7,4.4,23.4,-30.6,5.4,2.1,7.2,-37.6,2495,0.0,2.1,48.9,53.8
A,Adam Wolf,663684,L,CH,2021,82,1.18,82.1,-2.5,6.0,6.6,-8.0,23.4,-23.5,-10.4,11.4,15.8,-30.1,1707,1.2,1.2,36.6,50.8
A,Adam Wolf,663684,L,SL,2021,130,2.48,84.6,-2.3,6.1,6.7,2.4,22.9,-26.7,2.8,6.4,7.6,-32.0,2130,4.6,-0.2,48.2,41.1
A,Adrian Bohorquez,807974,R,SL,2024,90,3.73,87.4,-1.6,6.2,6.1,2.7,24.7,-30.5,3.0,1.9,4.0,-34.2,2659,0.2,-0.7,47.4,63.2
A,Adrian Florencio,684876,R,CH,2021,28,0.64,89.1,-1.8,6.6,6.1,-8.3,25.5,-18.6,-8.8,14.4,16.7,-20.0,1909,1.4,1.0,39.9,43.1
A,Adrian Florencio,684876,R,SL,2021,610,2.28,83.0,-1.5,6.4,6.2,5.8,22.4,-33.1,7.1,-1.1,7.5,-40.3,2544,0.0,0.7,50.1,61.9
A,Adrian Hernandez,681753,R,CU,2021,55,1.09,78.1,-1.6,6.2,5.9,4.6,21.7,-42.7,6.5,-14.8,15.8,-60.0,2290,0.8,0.3,50.9,48.5
A,Adrian Hernandez,681753,R,SC,2021,170,3.83,81.8,-1.6,6.4,5.7,-13.8,21.3,-27.4,-17.8,6.0,18.8,-34.8,2419,0.5,1.6,42.7,47.9
A,Adrian Hernandez,681753,R,SC,2022,30,5.93,82.3,-1.7,6.6,5.5,-13.4,23.8,-26.7,-16.6,7.0,18.0,-33.8,2240,1.2,4.2,41.9,44.7
A,Adrian Herrera,805155,R,CU,2024,49,-0.04,77.3,-1.6,6.5,5.3,5.6,21.8,-37.9,8.0,-8.0,11.1,-53.6,2183,0.3,0.1,49.7,45.7
A,Adrian Herrera,805155,R,SL,2024,21,-11.86,83.2,-1.8,6.4,5.2,4.0,23.4,-29.9,4.9,3.0,5.7,-36.4,2182,1.9,-1.9,55.0,44.6
A,Al Pesto,663875,R,FC,2023,35,-2.51,81.1,-1.2,6.3,5.5,0.6,21.7,-28.6,0.8,4.7,5.0,-36.7,2022,2.2,0.4,47.3,34.9
A,Alan Perdomo,679595,R,CU,2024,138,-1.01,78.5,-2.1,6.2,5.7,5.0,22.2,-36.4,6.9,-5.8,9.4,-50.3,2127,0.1,0.1,47.3,40.4
A,Alberto Gonzalez,681298,R,CH,2021,28,-2.39,82.7,-0.9,6.2,5.6,-13.6,24.0,-28.0,-16.8,5.0,18.0,-35.2,1911,-0.4,-1.4,39.2,46.5
A,Alberto Gonzalez,681298,R,SL,2021,66,0.73,80.4,-1.0,6.0,5.8,7.2,21.4,-27.6,9.8,6.3,11.6,-36.7,2576,-1.6,5.8,50.0,54.3
A,Alejandro Gomez,702901,R,CH,2024,24,4.88,85.2,-1.3,5.8,5.7,-12.0,25.1,-25.0,-14.5,8.5,17.0,-29.7,1821,1.2,2.5,38.9,59.2
A,Alejandro Gomez,702901,R,SL,2024,84,-1.85,81.7,-1.3,5.8,5.6,3.5,24.0,-29.0,4.6,4.2,7.2,-37.9,2276,-1.4,4.4,46.4,39.8
